ID,Age,Sex,Latitude,Longitude,Location,mass,SVL,Season,fveg10,frock10,fveg20,frock20,fveg30,frock30,fveg40,frock40,fveg50,frock50,fveg60,frock60,fveg70,frock70,fveg80,frock80,fveg90,frock90,fveg100,frock100,Mi
GS23,Adult,NA,31.379949,35.371584,Mishmar River,1.8,41.45,Winter,0.033089893,0.239383284,0.027448239,0.278835311,0.027242112,0.230064547,0.0388176,0.172460647,0.036665933,0.151076489,0.042644351,0.13903261,0.045343338,0.126650602,0.040495439,0.128675766,0.038042165,0.12687552,0.035494087,0.131148975,2.102028995
GS36,Adult,NA,31.351711,35.358872,Tse'elim River,1.7,36.34,Winter,0.000360913,0.096002887,0.000789319,0.060597176,0.005302673,0.069776766,0.004262301,0.063179022,0.003048835,0.068178456,0.00275616,0.06480985,0.00271531,0.06349408,0.003154365,0.064502398,0.002942208,0.072679893,0.003003764,0.082513312,3.309352662
GS37,Adult,NA,31.352773,35.360423,Tse'elim River,1.8,44.31,Winter,0.037250834,0.068097772,0.018262987,0.138235029,0.013318635,0.162980408,0.015914805,0.14541498,0.013350171,0.146162728,0.012545696,0.141931491,0.012431405,0.119397078,0.010543778,0.103674607,0.010345523,0.095816912,0.011560704,0.0951521,1.622155098
GS14,Adult,NA,31.379817,35.368124,Mishmar River,1.4,40.32,Summer,0.002886003,0.022005772,0.002413171,0.033784393,0.007396791,0.049422188,0.015057898,0.06492767,0.016842865,0.072596067,0.018792047,0.077638717,0.026540283,0.078582579,0.032171041,0.080904707,0.034071749,0.086720092,0.035713513,0.086153707,1.820192522
GS32,Adult,NA,31.352656,35.364096,Tse'elim River,2.41,47.32,Summer,0.00126331,0.006316549,0.001826793,0.052954443,0.016156028,0.095633262,0.02303989,0.174183147,0.022925469,0.176155203,0.040585034,0.154171511,0.043075501,0.144058732,0.038813085,0.138554735,0.033088194,0.130451874,0.030234968,0.123319415,1.682585397
GS34,Adult,NA,31.350547,35.355911,Tse'elim River,1.5,44.52,Summer,0.005683869,0.054402743,0.003901053,0.028637788,0.004610327,0.07211153,0.004650665,0.11639627,0.004290018,0.128816005,0.003716075,0.119976847,0.003158935,0.114043824,0.003568685,0.111269124,0.003829737,0.111602465,0.004448762,0.112230217,1.327198205
GS19,Adult,NA,31.380073,35.370984,Mishmar River,1.8,43.62,Winter,0.017939241,0.077255927,0.016688091,0.144284329,0.012699463,0.136536765,0.009313706,0.144965694,0.011351459,0.155936423,0.021528277,0.164275889,0.024450454,0.174278977,0.026101149,0.178020293,0.027888646,0.173354388,0.026070076,0.164526258,1.724113243
GS21,Adult,NA,31.380331,35.376801,Mishmar River,2.3,46.7,Winter,0.003247046,0.029043023,0.037336821,0.057854035,0.053314626,0.054888009,0.052046454,0.050107115,0.057629027,0.04844634,0.075118453,0.046281286,0.082962857,0.043424475,0.093078026,0.04208884,0.105633113,0.042500022,0.11002855,0.044272654,1.690186647
GS22,Adult,NA,31.380341,35.37634,Mishmar River,2.3,45.93,Winter,0.041959935,0.062353366,0.047615825,0.054946542,0.073393392,0.059955307,0.064448478,0.057142213,0.063581187,0.06312652,0.076542987,0.061691924,0.082338408,0.059577704,0.090200417,0.057930714,0.096035716,0.054901734,0.102271354,0.051832508,1.802928663
GS24,Adult,NA,31.380182,35.372165,Mishmar River,1.4,37.53,Winter,0.059491617,0.28492879,0.032877083,0.167609985,0.03905788,0.159929842,0.034081299,0.133590799,0.038221594,0.129115596,0.039724579,0.119446853,0.041298413,0.107977107,0.041898225,0.101242415,0.043154387,0.097310354,0.043745659,0.093581035,2.404758285
GS35,Adult,NA,31.351488,35.35933701,Tse'elim River,1.4,39.34,Winter,0.000451182,0.022288396,0.001285086,0.043016571,0.002144826,0.05473315,0.002379046,0.051143859,0.002316385,0.047998239,0.002583552,0.048689054,0.003534388,0.063028087,0.003784403,0.061434183,0.003692811,0.071897332,0.00384989,0.078019814,2.002727991
GS39,Adult,NA,31.352723,35.358282,Tse'elim River,1.8,42.93,Winter,0.056467617,0.178152625,0.020300447,0.204651058,0.016715102,0.169706383,0.014635246,0.151493968,0.012297566,0.140029156,0.011824193,0.134984728,0.013218552,0.118285786,0.011616353,0.110948716,0.010757717,0.104017996,0.013002933,0.097324003,1.83426181
GS40,Adult,NA,31.352269,35.357681,Tse'elim River,2,40.63,Winter,0.006040389,0.373873062,0.001533569,0.224284522,0.000902039,0.16921242,0.004414227,0.160158078,0.008500658,0.138200646,0.008261087,0.130638938,0.007424371,0.124693719,0.007884548,0.116132879,0.008051575,0.107838759,0.008082259,0.106684912,2.524062334
GS41,Adult,NA,31.352269,35.357681,Tse'elim River,1.9,43.47,Winter,0.006040389,0.373873062,0.001533569,0.224284522,0.000902039,0.16921242,0.004414227,0.160158078,0.008500658,0.138200646,0.008261087,0.130638938,0.007424371,0.124693719,0.007884548,0.116132879,0.008051575,0.107838759,0.008082259,0.106684912,1.844409577
